报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),61095,31152,21414,13930,11705,12143,12616,23278,44577,7074,3080,3449,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),17775,7039,7269,5902,707,79,2268,2594,233,0,483,450,
应收账款(万元),85803,85612,73407,73316,61379,48967,39322,39571,27605,21575,14952,14212,
预付款项(万元),12258,3576,3245,2240,3377,13253,5017,4661,4793,3133,1895,1556,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,0,7,11,36,226,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),5876,3330,2742,1443,1755,1144,1053,699,2327,440,286,131,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),174985,107361,43945,21464,24751,24335,22626,20133,12552,8775,15375,12253,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),6178,4365,3020,718,1434,--,--,--,--,0,0,0,
流动资产合计(万元),363969,242435,155043,119014,105108,99929,82913,90972,92314,40996,36071,32052,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),332,378,453,524,--,--,--,--,--,130,130,130,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),120511,93699,95000,94051,57193,52489,38771,33382,18376,11282,9630,0,
累计折旧(万元),37028,27678,22851,17337,12380,9458,6591,4404,3016,2271,2274,0,
固定资产净值(万元),83483,66020,72149,76714,44814,43032,32180,28978,15360,9010,7356,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),83483,66020,72149,76714,44814,43032,32180,28978,15360,9010,7356,7401,
在建工程(万元),47805,10470,9491,1263,19279,7564,10078,4316,7857,5658,1737,288,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,963,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),15337,11930,11763,10763,8952,8860,7989,8734,3883,3956,1194,1206,
开发支出(万元),2966,1276,368,--,349,--,305,--,--,0,0,0,
商誉(万元),62040,2654,2654,2654,--,--,--,--,--,0,0,0,
长期待摊费用(万元),206,43,34,7,22,21,39,22,38,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),3866,2653,2049,1972,1664,1321,974,490,272,415,303,361,
其他非流动资产(万元),13420,12350,366,352,7396,--,--,--,--,0,0,0,
非流动资产合计(万元),229456,107774,99326,94247,82476,60797,51566,42539,27411,20133,10720,9386,
资产总计(万元),593425,350209,254369,213262,187584,160726,134479,133511,119725,61129,46791,41438,
短期借款(万元),106294,77475,67650,54800,38500,35500,26000,15500,11500,7000,5700,7595,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),21940,16693,17050,9039,4129,670,--,475,5400,2772,1618,984,
应付账款(万元),138972,67047,36992,28309,28051,21770,20184,24293,14968,13259,12224,10787,
预收账款(万元),33040,7001,3209,3558,6106,6441,7063,7049,6941,8152,12774,11244,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),2579,1856,1307,1256,1187,913,855,968,865,380,385,399,
应交税费(万元),6257,1913,794,1588,621,-153,-949,-1024,69,414,662,1920,
应付利息(万元),214,162,274,120,113,--,--,--,--,0,0,0,
应付股利(万元),--,0,42,--,--,--,--,--,--,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),2488,12409,13469,3479,190,233,142,89,158,111,60,623,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
