报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
货币资金(万元),280510700,289661900,281165300,258705700,274306500,260380200,261311100,248708200,208233200,151780600,114588400,93701400,68750300,45982000,42136100,38612900,34643300,29458700,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
拆出资金(万元),55201300,50526900,58094900,50425200,40706200,30865500,22338000,21268300,9537500,4943500,4447900,5249800,7725900,4069400,5361600,5607400,7256800,7170300,
交易性金融资产(万元),64324500,57796500,41795500,43926100,41466000,32288200,17855500,6805200,5025700,11217600,4001700,1720500,--,--,--,--,0,0,
衍生金融资产(万元),3694400,2828400,3146000,1603800,719500,818600,482500,852400,917300,467800,715100,1020700,--,--,--,--,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收利息(万元),--,11869300,11037000,10477500,9794800,7502200,5999300,4865500,3864100,3212700,2995000,2378300,279300,1004900,3741100,5693300,6172000,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,1768300,6139000,2039100,2131500,2670800,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
买入返售金融资产(万元),37100100,54038600,32305100,47180900,50941800,73705200,81462000,52944000,52533100,42109300,24637000,14484800,--,--,--,--,0,0,
存货(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
发放贷款及垫款(万元),1146154200,1031631100,931936400,850667500,773999600,690252200,615341100,539886300,478800800,401149500,301498400,270919200,310230900,279326600,255769300,223989700,188915000,162654100,
可供出售金融资产(万元),--,142642000,140888100,121454200,92790300,78131100,75550300,65119800,66850300,73018000,80001300,52920300,--,--,--,--,0,0,
持有至到期投资(万元),--,348913500,288215200,230082400,171095000,152381500,130879600,117888800,103665800,88391500,57632300,53281600,--,--,--,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
长期股权投资(万元),400500,22700,21300,27300,--,100,10800,13400,14100,34300,34700,36300,130640700,125705900,77305200,57626700,42022400,29879800,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
固定资产原值(万元),27133000,26482700,25740100,24325000,22754200,21303600,19149900,16987400,14890800,13048000,11379600,11584400,9888200,9489200,--,--,0,0,
累计折旧(万元),11857700,10915700,9841800,8675400,7227400,6187600,4970200,3776700,2720300,1820400,951100,3842800,3317800,3015300,--,--,0,0,
固定资产净值(万元),15275300,15567000,15898300,15649600,15526800,15116000,14179700,13210700,12170500,11227600,10428500,7741600,6570400,6473900,--,--,0,0,
固定资产减值准备(万元),30100,41200,31400,31800,31800,30100,30700,29200,31400,30300,40200,96600,--,--,--,--,0,0,
固定资产(万元),15245200,15525800,15866900,15617800,15495000,15085900,14149000,13181500,12139100,11197300,10388300,7645000,6570400,6473900,6295700,6266300,6033800,5838000,
在建工程(万元),--,--,--,--,--,--,--,--,--,0,0,0,918800,801300,792300,645700,614200,545300,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
无形资产(万元),2357500,2453500,2526600,2577600,2611700,2648400,2659800,2573000,2629400,2664200,2700000,211500,--,--,--,--,0,0,
