报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
货币资金(万元),240780800,230302000,234918800,226943400,239121100,211434000,200677200,198148400,162314400,108603700,109747100,82256500,41944300,34558500,31294000,29290700,21423400,15527700,16334700,16246500,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
拆出资金(万元),78176100,48655900,48392900,35021800,29911100,40200100,34925100,45466800,13698400,13893300,38574800,38664800,39913800,34453700,34019200,43350000,--,--,0,--,
交易性金融资产(万元),37049100,19361100,12409000,11906200,10452800,7520000,7159000,7380700,8123700,6189700,8781400,12466500,11582800,10727100,9101200,11455700,--,--,66205600,40845300,
衍生金融资产(万元),12412600,9491200,13054900,8223600,4796700,4082300,4018800,4275700,3997400,2851400,7612400,4583900,2483700,1680800,1607600,1316200,--,--,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,7969800,8492200,
预付款项(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收利息(万元),--,9691900,7983600,7735400,7681400,6282000,5418800,5481700,4202500,3439000,3469000,--,--,2040800,1510100,1938700,2969300,4088000,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,3329200,0,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
买入返售金融资产(万元),26059700,8884000,11011900,7663000,10316900,35804800,9804800,16369800,7673200,14942200,24834800,--,--,--,--,0,--,--,0,--,
存货(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
发放贷款及垫款(万元),1151576400,1064430400,973564600,893519500,829474400,743974200,671004000,620313800,553776500,479740800,318965200,275449300,233772600,215189300,207169300,192113100,165160000,151370000,134614100,144957600,
可供出售金融资产(万元),--,185722200,160983000,107853300,75068500,70119600,68640000,55331800,65673800,62230700,75260200,68299500,81517800,--,--,0,--,--,0,--,
持有至到期投资(万元),--,208986400,184304300,179079000,142446300,121053100,118308000,107411600,103938600,74469300,36583800,44664700,46114000,156232000,121846700,97763000,96150300,--,0,--,
