报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),3987,2394,5819,1950,1126,1538,787,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),--,630,3,--,15,--,--,
应收账款(万元),2827,3760,1558,1878,1866,262,327,
预付款项(万元),704,158,31,144,98,282,594,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),285,659,1008,1175,883,723,617,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),15655,13808,12841,9335,7094,6715,4935,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),5774,21934,93,267,551,1160,635,
流动资产合计(万元),29232,43342,21353,14749,11634,10680,7895,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),39420,27995,26298,22797,16529,--,--,
累计折旧(万元),9206,8299,7210,5767,4256,--,--,
固定资产净值(万元),30214,19697,19087,17030,12273,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),30214,19697,19087,17030,12273,12070,8942,
在建工程(万元),16541,4237,346,2206,799,60,935,
工程物资(万元),997,633,225,121,70,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2311,2154,641,513,529,533,546,
开发支出(万元),100,66,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),18,115,34,40,26,56,63,
其他非流动资产(万元),948,1985,210,206,399,145,501,
非流动资产合计(万元),51129,28886,20543,20116,14096,12863,10988,
资产总计(万元),80362,72228,41896,34864,25730,23543,18882,
短期借款(万元),--,--,2400,2490,6850,6750,5370,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),1791,351,1685,2030,400,--,100,
应付账款(万元),6243,2599,2691,2345,2772,2117,2535,
预收账款(万元),195,115,95,105,31,127,124,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),1110,612,845,768,352,217,173,
应交税费(万元),60,270,464,52,45,23,9,
应付利息(万元),--,--,--,--,--,127,--,
应付股利(万元),--,--,--,--,--,159,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),2888,2389,78,66,873,2165,4670,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2000,--,583,1166,1904,1630,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),14288,6337,8842,9022,13228,13314,12981,
长期借款(万元),--,2000,2500,800,700,2200,1350,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,283,--,147,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),79,84,88,93,--,--,--,
递延所得税负债(万元),179,97,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),258,2180,2588,1176,700,2347,1350,
负债合计(万元),14546,8518,11431,10199,13928,15662,14331,
实收资本(或股本)(万元),8140,8130,6000,6000,3180,3180,1500,
资本公积(万元),39536,38891,12015,12015,1259,1259,--,
减:库存股(万元),2415,2308,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),2118,1874,1232,662,869,484,325,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),18437,17123,11219,5990,6494,2958,2726,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),65816,63710,30466,24666,11802,7882,4551,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),65816,63710,30466,24666,11802,7882,4551,
负债和所有者权益(或股东权益)总计(万元),80362,72228,41896,34864,25730,23543,18882,		
  
