报告日期,2007-03-31,2006-12-31,
货币资金(万元),85816,107900,
结算备付金(万元),0,0,
拆出资金(万元),0,0,
交易性金融资产(万元),0,0,
衍生金融资产(万元),--,0,
应收票据(万元),182204,118642,
应收账款(万元),299684,182717,
预付款项(万元),53892,31536,
应收保费(万元),0,0,
应收分保账款(万元),0,0,
应收分保合同准备金(万元),0,0,
应收利息(万元),0,0,
应收股利(万元),304,1168,
其他应收款(万元),38342,29351,
应收出口退税(万元), 0,0,
应收补贴款(万元),0,0,
应收保证金(万元),--,0,
内部应收款(万元),--,0,
买入返售金融资产(万元),0,0,
存货(万元),213918,215327,
待摊费用(万元),0,0,
待处理流动资产损益(万元),--,0,
一年内到期的非流动资产(万元),0,0,
其他流动资产(万元),16,63,
流动资产合计(万元),874176,686704,
发放贷款及垫款(万元),0,0,
可供出售金融资产(万元),0,0,
持有至到期投资(万元),0,0,
长期应收款(万元),0,0,
长期股权投资(万元),29074,29063,
其他长期投资(万元),--,0,
投资性房地产(万元),4158,3648,
固定资产原值(万元),--,0,
累计折旧(万元),--,0,
固定资产净值(万元),--,0,
固定资产减值准备(万元),--,0,
固定资产(万元),254262,257669,
在建工程(万元),35536,35061,
工程物资(万元),262,414,
固定资产清理(万元),4,0,
生产性生物资产(万元),0,0,
公益性生物资产(万元),--,0,
油气资产(万元),0,0,
无形资产(万元),20643,19438,
开发支出(万元),0,0,
商誉(万元),7060,7060,
长期待摊费用(万元),13889,11624,
股权分置流通权(万元),--,0,
递延所得税资产(万元),6663,6666,
其他非流动资产(万元),231,236,
非流动资产合计(万元),371782,370880,
资产总计(万元),1245958,1057585,
短期借款(万元),172540,170769,
向中央银行借款(万元),0,0,
吸收存款及同业存放(万元),0,0,
拆入资金(万元),0,0,
交易性金融负债(万元),0,0,
衍生金融负债(万元),--,0,
应付票据(万元),62010,47315,
应付账款(万元),348205,244849,
预收账款(万元),30498,21941,
卖出回购金融资产款(万元),0,0,
应付手续费及佣金(万元),0,0,
应付职工薪酬(万元),19552,14992,
应交税费(万元),23111,13262,
应付利息(万元),32,29,
应付股利(万元),728,728,
其他应交款(万元),0,0,
应付保证金(万元),--,0,
内部应付款(万元),--,0,
其他应付款(万元),62896,50915,
预提费用(万元),0,0,
预计流动负债(万元),0,0,
应付分保账款(万元),0,0,
保险合同准备金(万元),0,0,
代理买卖证券款(万元),0,0,
代理承销证券款(万元),0,0,
国际票证结算(万元),--,0,
国内票证结算(万元),--,0,
递延收益(万元),0,0,
应付短期债券(万元),0,0,
一年内到期的非流动负债(万元),8056,11627,
其他流动负债(万元),1705,706,
流动负债合计(万元),729331,577133,
长期借款(万元),83542,79972,
应付债券(万元),0,0,
长期应付款(万元),5728,5802,
专项应付款(万元),1108,1108,
预计非流动负债(万元),8128,7360,
长期递延收益(万元),--,--,
递延所得税负债(万元),0,0,
其他非流动负债(万元),0,0,
非流动负债合计(万元),98506,94242,
负债合计(万元),827838,671374,
实收资本(或股本)(万元),93629,93629,
资本公积(万元),11357,11359,
减:库存股(万元),0,0,
专项储备(万元),--,--,
盈余公积(万元),43683,43683,
一般风险准备(万元),0,0,
未确定的投资损失(万元),0,0,
未分配利润(万元),54565,41483,
拟分配现金股利(万元),0,0,
外币报表折算差额(万元),-172,-166,
归属于母公司股东权益合计(万元),203061,189987,
少数股东权益(万元),215060,196224,
所有者权益(或股东权益)合计(万元),418121,386211,
负债和所有者权益(或股东权益)总计(万元),1245958,1057585,		
  
